SURVEY_NUMBER,STATION_NUMBER,OBSERVATION_NUMBER,LONGITUDE,LATITUDE,GEOID_GROUND_ELEVATION,ELLIPSOID_GROUND_HEIGHT,GEOID_ELLIPSOID_SEPARATION,OBSERVED_GRAVITY,GEOID_GRAVITY_METER_HEIGHT,ELLIPSOID_HGT_OF_GRAVITY_METER,TERRAIN_CORRECTION,TERR_CORR_DENSITY_USED,ELLIPSOID_FREEAIR_ANOMALY,SPHERICAL_CAP_BOUGUER_ANOMALY,GEOIDAL_FREEAIR_ANOMALY,INFINITE_SLAB_BOUGUER_ANOMALY,ACCURACY_OF_LOCATION,ACCURACY_OF_GEOID_GND_ELEV,ACCURACY_OF_ELLIPSOID_GND_HGT,ACCURACY_OF_G_E_SEPARATION,ACCURACY_OF_OBSERVED_GRAVITY,ERROR_OF_GEOID_METER_HGT,ERROR_OF_ELLIPSOID_METER_HGT,ERROR_IN_TERRAIN_CORRECTION,ESTIMATE_OF_STN_RELIABILITY,GRIDDING_FLAG,METHOD_OF_LOCATION_ACCURACY,METHOD_OF_GEOID_GND_ELEV_ACC,METHOD_OF_ELLIPSOID_GNDHGT_ACC,METHOD_OF_G_E_SEPARATION_ACC,METHOD_OF_OBSERVED_GRAV_ACC,METHOD_OF_GEOID_METERHGT_ERROR,METHOD_OF_ELLIPS_METER_HGT_ERR,METHOD_OF_TERR_CORR_ERROR,STATION_NAME,STATION_TYPE,GEOID_GND_ELEV_TYPE,GEODETIC_DATUM,GEOID_GND_ELEV_DATUM,ELLIPSOID_GND_HGT_DATUM,OBSERVED_GRAVITY_DATUM,LOCATION_UNITS,UNITS_OF_GEOID_GND_ELEV,UNITS_OF_ELLIPSOID_GROUND_HGT,UNITS_OF_G_E_SEPARATION,UNITS_OF_OBSERVED_GRAVITY,UNITS_OF_GEOID_METER_HGT,UNITS_OF_ELLIPSOID_METER_HGT,UNITS_OF_TERRAIN_CORRECTION,UNITS_OF_LOCATION_ACCURACY,UNITS_OF_GEOID_GND_ELEV_ACC,UNITS_OF_ELLIPSOID_GND_HGT_ACC,UNITS_OF_G_E_SEPARATION_ACC,UNITS_OF_OBSERVED_GRAV_ACC,UNITS_OF_GEOID_METER_HGT_ERROR,UNITS_OF_ELLIPS_METER_HGT_ERR,UNITS_OF_TERR_CORR_ERROR,METHOD_OF_LOCATION,METHOD_OF_GEOID_GND_ELEV,METHOD_OF_ELLIPSOID_GND_HGT,METHOD_USED_IN_G_E_SEPARATION,METHOD_OF_GEOID_METER_HGT,METHOD_OF_ELLIPSOID_METER_HGT,METHOD_OF_TERRAIN_CORRECTION,GEOID_USED_IN_G_E_SEPARATION,ELLIPS_USED_IN_G_E_SEPARATION,GRAVITY_METER_MAKE,GRAVITY_METER_SERIAL_NUMBER,OBSERVATION_DATE,PROCESSING_DATE,COMMENTS
196953,1969534180.0,5758254,137.321601,-30.340838,32.85,39.386,6.536,9793469.2,32.85,39.386,0.18,2.67,83.27,38.6,62.99,26.23,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534331.0,4642454,136.531904,-29.941445,120.21,125.25,5.04,9792714.0,120.21,125.25,0.06,2.67,-93.73,-235.75,-109.33,-243.85,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534332.0,5721948,136.605403,-29.941344,114.03,119.313,5.283,9792772.03,114.03,119.313,0.18,2.67,-53.94,-189.23,-70.29,-197.89,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534333.0,4642455,136.672502,-29.934343,105.61,111.118,5.508,9792828.36,105.61,111.118,0.14,2.67,-17.43,-143.43,-34.48,-152.66,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534342.0,5262843,136.770401,-29.937342,122.28,128.078,5.798,9792870.28,122.28,128.078,0.12,2.67,74.48,-70.75,56.55,-80.29,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534343.0,5696859,136.815901,-29.949742,127.13,133.032,5.902,9792854.07,127.13,133.032,0.12,2.67,63.87,-86.97,45.62,-96.64,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534344.0,4642460,136.8764,-29.943241,123.65,129.711,6.061,9792834.56,123.65,129.711,0.11,2.67,39.19,-107.88,20.45,-117.92,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534424.0,5409320,136.9519,-29.95854,126.3,132.526,6.226,9792832.96,126.3,132.526,0.13,2.67,34.32,-115.94,15.07,-126.26,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534425.0,5410148,136.996099,-29.94294,123.92,130.277,6.357,9792858.18,123.92,130.277,0.21,2.67,64.79,-82.93,45.13,-93.54,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
196953,1969534434.0,5409479,137.062198,-29.946939,80.88,87.394,6.514,9792979.44,80.88,87.394,0.31,2.67,50.61,-48.5,30.43,-60.07,100.0,5.0,5.06,0.06,2.0,5.0,5.06,0.5,1,0,5,5,1,3,5,5,1,3,69E3,?,TR,GDA94,MSL,GRS80,B,DEG,m,m,m,um,m,m,um,m,m,m,m,um,m,m,um,99999,99999,ELN,W98,99999,ELN,DFA,AUSGEOID98,GRS80,99999,99999,31-DEC-99,31-DEC-99,Comment is null
