DRILLHOLE_NO,DH_NAME,DH_OTHER_NAME,lon_dd,lat_dd,max_depth_m,drill_date,TARGET_COMMODITIES,MINERAL_CLASS,PETROLEUM_CLASS,STRATIGRAPHIC_CLASS,WATER_WELL_CLASS,STRAT_LOG,LITHO_LOG,PETROPHYSICAL_LOG,CORE_LIBRARY,OPERATOR_NAME,TENEMENT,MAP_250000,dist_od_km,in_regional_window,strat_units_top_to_base,gis_codes_top_to_base,deepest_logged_base_m,oldest_age_rank,oldest_age_class,depth_top_pre_adelaidean_m,depth_top_crystalline_basement_m,first_pre_adelaidean_unit,first_crystalline_basement_unit,reached_pre_adelaidean,reached_crystalline_basement,pandurra_logged,hole_type,cutoff_t0,buffer_deg
136438,MT. MITCHELL 4,,135.107639,-31.0788243,17.37,1966-01-01,Gold,Y,N,N,N,Y,N,N,N,Australian Development Ltd.,SML 83,SH5315 GAIRDNER,184.2,False,Glenloth Granite,AYm--g,17.34,5.0,Archaean,0.0,0.0,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
136435,MT. MITCHELL 1,,135.108289,-31.0786793,15.55,1966-01-01,Gold,Y,N,N,N,Y,N,N,N,Australian Development Ltd.,SML 83,SH5315 GAIRDNER,184.2,False,Glenloth Granite,AYm--g,15.54,5.0,Archaean,0.0,0.0,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
9465,LINE 30N 28,,135.2009209,-31.2572243,19.81,1969-10-26,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.8,False,Tertiary-Pleistocene rocks > Cretaceous-Paleocene deep weathering > Chitanilga Volcanic Complex unit 10,aI > Ka----dw > M-tai---10,19.81,3.0,Mesoproterozoic,16.56,16.56,Chitanilga Volcanic Complex unit 10,Chitanilga Volcanic Complex unit 10,True,True,False,mineral,1975-05-02,2.0
9330,GLW 1,,135.095737,-31.0750103,45.72,1969-11-27,Tin,Y,N,N,N,Y,N,N,N,South Australia. Department of Mines and Energy., ,SH5315 GAIRDNER,185.1,False,Glenloth Granite,AYm--g,45.72,5.0,Archaean,0.0,0.0,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
147514,PACMINEX EX 144,,137.1598476,-32.0904854,60.0,1974-07-13,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,185.2,False,Quaternary rocks > Whyalla Sandstone > Umberatana Group unit 2 > Pandurra Formation,IH > N-hueh > N-hu----02 > M----p,60.0,3.0,Mesoproterozoic,57.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147522,PACMINEX EX 152,,137.1757286,-32.0989604,56.0,1974-07-16,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,186.4,False,Quaternary rocks > Umberatana Group unit 2 > Pandurra Formation,IH > N-hu----02 > M----p,56.0,3.0,Mesoproterozoic,54.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
20424,PACMINEX EX 132,,137.2104036,-32.1089134,53.0,1974-06-27,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,188.0,False,Quaternary rocks > Whyalla Sandstone > Pandurra Formation,IH > N-hueh > M----p,53.0,3.0,Mesoproterozoic,52.5,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
6411,EDR 3,,134.986236,-30.8864843,35.05,1969-11-08,,Y,N,N,N,Y,Y,N,Y,South Australia. Department of Mines and Energy., ,SH5310 TARCOOLA,188.4,False,Mulgathing Complex,AYm,35.05,5.0,Archaean,0.0,0.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
6412,EDR 4,,134.986309,-30.8864853,36.58,1969-11-11,,Y,N,N,N,Y,Y,N,Y,South Australia. Department of Mines and Energy., ,SH5310 TARCOOLA,188.4,False,Mulgathing Complex,AYm,36.58,5.0,Archaean,0.0,0.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
6409,EDR 1,,134.986236,-30.8864843,41.15,1969-11-06,,Y,N,N,N,Y,Y,N,Y,South Australia. Department of Mines and Energy., ,SH5310 TARCOOLA,188.4,False,Mulgathing Complex,AYm,40.23,5.0,Archaean,0.0,0.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
6410,EDR 2,,134.986236,-30.8864843,47.24,1969-11-07,,Y,N,N,N,Y,Y,N,Y,South Australia. Department of Mines and Energy., ,SH5310 TARCOOLA,188.4,False,Mulgathing Complex,AYm,47.24,5.0,Archaean,0.0,0.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
6414,EDR 6,,134.986236,-30.8864843,22.86,1969-11-11,,Y,N,N,N,Y,N,N,Y,South Australia. Department of Mines and Energy., ,SH5310 TARCOOLA,188.4,False,Mulgathing Complex,AYm,22.86,5.0,Archaean,0.0,0.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
6413,EDR 5,,134.986236,-30.8864843,29.87,1969-11-11,,Y,N,N,N,Y,N,N,Y,South Australia. Department of Mines and Energy., ,SH5310 TARCOOLA,188.4,False,Mulgathing Complex,AYm,29.87,5.0,Archaean,0.0,0.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
