DRILLHOLE_NO,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,MAJOR_LITHOLOGY,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,DH_NAME,drill_date,dist_od_km
6144,4.8,18.2,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1958-11-05,332.9
6144,18.2,47.2,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1958-11-05,332.9
6151,0.0,5.5,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1955-03-02,336.8
6151,5.5,25.0,eI-i-g,Garford Formation,Clay (Sedimentary),post-Cambrian cover,False,False,False,,1955-03-02,336.8
6151,25.0,53.3,M-th,Hiltaba Suite,Clay (Sedimentary),Mesoproterozoic,True,False,True,,1955-03-02,336.8
6226,0.0,3.05,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1954-02-05,345.4
6226,3.05,32.0,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1954-02-05,345.4
6226,32.0,39.0,Y--p,St Peter Suite,Clay (Undiff. Origin),Palaeoproterozoic,True,False,True,,1954-02-05,345.4
6233,0.0,6.1,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1952-05-13,338.1
6233,6.1,30.5,eI-i-g,Garford Formation,Clay (Sedimentary),post-Cambrian cover,False,False,False,,1952-05-13,338.1
6233,30.5,36.0,M-th,Hiltaba Suite,Clay (Sedimentary),Mesoproterozoic,True,False,True,,1952-05-13,338.1
6234,0.0,1.8,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1955-03-16,338.7
6234,1.8,6.1,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1955-03-16,338.7
6234,6.1,33.5,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1955-03-16,338.7
6235,0.0,15.2,IH,Quaternary rocks,,post-Cambrian cover,False,False,False,,1929-08-13,337.5
6235,15.2,45.7,ap,Tertiary rocks,,post-Cambrian cover,False,False,False,,1929-08-13,337.5
6235,45.7,51.8,M-th,Hiltaba Suite,,Mesoproterozoic,True,False,True,,1929-08-13,337.5
6236,0.0,1.8,IH,Quaternary rocks,,post-Cambrian cover,False,False,False,,1948-06-28,337.0
6236,1.8,3.0,I---cb,Bridgewater Formation,,post-Cambrian cover,False,False,False,,1948-06-28,337.0
6236,3.0,51.8,eI-i-g,Garford Formation,,post-Cambrian cover,False,False,False,,1948-06-28,337.0
6236,51.8,53.3,M-th,Hiltaba Suite,,Mesoproterozoic,True,False,True,,1948-06-28,337.0
6237,0.0,1.8,IH,Quaternary rocks,,post-Cambrian cover,False,False,False,,1948-07-15,337.1
6237,1.8,2.7,I---cb,Bridgewater Formation,,post-Cambrian cover,False,False,False,,1948-07-15,337.1
6237,2.7,33.8,eI-i-g,Garford Formation,,post-Cambrian cover,False,False,False,,1948-07-15,337.1
6237,33.8,49.4,M-th,Hiltaba Suite,,Mesoproterozoic,True,False,True,,1948-07-15,337.1
6248,0.0,4.27,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1952-12-16,346.9
6248,4.27,15.24,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1952-12-16,346.9
6248,15.24,28.65,M-th,Hiltaba Suite,Clay (Undiff. Origin),Mesoproterozoic,True,False,True,,1952-12-16,346.9
6248,28.65,30.0,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1952-12-16,346.9
6363,0.0,44.2,Y--t-t,Tarcoola Formation,Quartzite,Palaeoproterozoic,True,False,True,TD 1 SADME,1965-05-17,226.5
6363,44.2,50.7,Y--t-tp,Peela Conglomerate Member,Conglomerate,Palaeoproterozoic,True,False,True,TD 1 SADME,1965-05-17,226.5
6363,50.7,64.01,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,TD 1 SADME,1965-05-17,226.5
6364,0.0,40.1,Y--t-t,Tarcoola Formation,Quartzite,Palaeoproterozoic,True,False,True,TD 2 SADME,1965-06-12,226.5
6364,40.1,45.9,Y--t-tp,Peela Conglomerate Member,Conglomerate,Palaeoproterozoic,True,False,True,TD 2 SADME,1965-06-12,226.5
6364,45.9,61.26,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,TD 2 SADME,1965-06-12,226.5
6365,0.0,19.8,Y--t-t,Tarcoola Formation,Quartzite,Palaeoproterozoic,True,False,True,TD 3 SADME,1965-07-14,226.5
6365,19.8,32.9,Y--t-tp,Peela Conglomerate Member,Conglomerate,Palaeoproterozoic,True,False,True,TD 3 SADME,1965-07-14,226.5
6365,32.9,41.15,AYm,Mulgathing Complex,Adamellite,Archaean,True,False,True,TD 3 SADME,1965-07-14,226.5
6370,0.0,3.0,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,COMM RAILWAYS (A9) 9,1972-01-14,228.9
6370,3.0,12.0,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,COMM RAILWAYS (A9) 9,1972-01-14,228.9
6370,12.0,21.0,Y--t-t,Tarcoola Formation,Clay (Undiff. Origin),Palaeoproterozoic,True,False,True,COMM RAILWAYS (A9) 9,1972-01-14,228.9
6371,0.0,3.0,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,COMM RAILWAYS 182,1972-01-17,229.1
6371,3.0,49.0,CP,Carboniferous-Permian rocks,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,COMM RAILWAYS 182,1972-01-17,229.1
6371,49.0,54.0,AYm,Mulgathing Complex,,Archaean,True,False,True,COMM RAILWAYS 182,1972-01-17,229.1
6371,54.0,57.0,AYm,Mulgathing Complex,Granite,Archaean,True,False,True,COMM RAILWAYS 182,1972-01-17,229.1
6381,0.0,1.5,IH,Quaternary rocks,Calcrete,post-Cambrian cover,False,False,False,TD 4 SADME,1966-06-10,225.9
6381,1.5,76.55,Y--t-t,Tarcoola Formation,Quartzite,Palaeoproterozoic,True,False,True,TD 4 SADME,1966-06-10,225.9
6382,0.0,15.7,------ns,no sample,,post-Cambrian cover,False,False,False,TD 5 SADME,1966-07-29,219.8
6382,15.7,20.6,ap,Tertiary rocks,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,TD 5 SADME,1966-07-29,219.8
6382,20.6,82.7,Y--t-t,Tarcoola Formation,Claystone,Palaeoproterozoic,True,False,True,TD 5 SADME,1966-07-29,219.8
6382,82.7,99.06,Y----i,Wilgena Hill Jaspilite,Banded Iron Formation,Palaeoproterozoic,True,False,True,TD 5 SADME,1966-07-29,219.8
6409,0.0,40.23,AYm,Mulgathing Complex,Schist,Archaean,True,False,True,EDR 1,1969-11-06,188.4
6410,0.0,47.24,AYm,Mulgathing Complex,Gneiss,Archaean,True,False,True,EDR 2,1969-11-07,188.4
6411,0.0,35.05,AYm,Mulgathing Complex,Gneiss,Archaean,True,False,True,EDR 3,1969-11-08,188.4
6412,0.0,36.58,AYm,Mulgathing Complex,Schist,Archaean,True,False,True,EDR 4,1969-11-11,188.4
6413,0.0,29.87,AYm,Mulgathing Complex,Gneiss,Archaean,True,False,True,EDR 5,1969-11-11,188.4
6414,0.0,22.86,AYm,Mulgathing Complex,Gneiss,Archaean,True,False,True,EDR 6,1969-11-11,188.4
6521,0.0,1.5,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,COMM RAILWAYS 11,1972-01-24,226.0
6521,1.5,15.0,AYm,Mulgathing Complex,Granite,Archaean,True,False,True,COMM RAILWAYS 11,1972-01-24,226.0
6766,0.0,2.5,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,COMM RAILWAYS 14,1972-03-08,223.9
6766,2.5,9.0,AYm,Mulgathing Complex,Quartz Feldspar Porphyry,Archaean,True,False,True,COMM RAILWAYS 14,1972-03-08,223.9
6770,0.0,19.81,M-tale,Ealbara Rhyolite,Feldspar Porphyry,Mesoproterozoic,True,False,True,PERFECTION DDH 1,1971-04-16,224.4
6771,0.0,19.81,M-tale,Ealbara Rhyolite,Feldspar Porphyry,Mesoproterozoic,True,False,True,PERFECTION DDH 2,1971-04-09,224.1
6772,0.0,19.6,M-tale,Ealbara Rhyolite,Feldspar Porphyry,Mesoproterozoic,True,False,True,PERFECTION DDH 3,1971-04-14,224.1
6809,0.0,7.6,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LAKE PHILLIPSON BORE 1,1901-11-09,242.8
6809,7.6,30.4,K--rmb,Bulldog Shale,Mudstone,post-Cambrian cover,False,False,False,LAKE PHILLIPSON BORE 1,1901-11-09,242.8
6809,30.4,50.5,JK---a,Algebuckina Sandstone,Sand,post-Cambrian cover,False,False,False,LAKE PHILLIPSON BORE 1,1901-11-09,242.8
6809,50.5,957.0,CP,Carboniferous-Permian rocks,Siltstone,post-Cambrian cover,False,False,False,LAKE PHILLIPSON BORE 1,1901-11-09,242.8
6809,957.0,963.5,AYm,Mulgathing Complex,Granite,Archaean,True,False,True,LAKE PHILLIPSON BORE 1,1901-11-09,242.8
9178,0.0,1.83,I---ew,Wiabuna Formation,Sand,post-Cambrian cover,False,False,False,,1955-11-04,311.2
9178,1.83,15.24,I---ap,Pooraka Formation,Sand,post-Cambrian cover,False,False,False,,1955-11-04,311.2
9178,15.24,42.67,eI-i-g,Garford Formation,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,,1955-11-04,311.2
9178,42.67,45.72,Y--p,St Peter Suite,Granite,Palaeoproterozoic,True,False,True,,1955-11-04,311.2
9181,0.0,44.2,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,DME IR 5,1959-05-15,328.8
9181,44.2,45.42,M-th,Hiltaba Suite,Adamellite,Mesoproterozoic,True,False,True,DME IR 5,1959-05-15,328.8
9186,0.0,6.17,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,SA BULK HANDLING MINNIPA SILO 1,1958-07-16,314.7
9186,6.17,6.4,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,SA BULK HANDLING MINNIPA SILO 1,1958-07-16,314.7
9188,0.0,20.5,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,SA BULK HANDLING MINNIPA SILO 3,1966-07-28,314.7
9188,20.5,30.0,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,SA BULK HANDLING MINNIPA SILO 3,1966-07-28,314.7
9189,0.0,50.65,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,SA RAILWAYS MDD 2,1966-11-30,311.7
9190,0.0,1.37,I---r---04,Pleistocene regolith/colluvial unit 4,Sand,post-Cambrian cover,False,False,False,SA RAILWAYS RH 1,1968-06-18,310.5
9190,1.37,1.62,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,SA RAILWAYS RH 1,1968-06-18,310.5
9200,0.0,2.13,I---r---04,Pleistocene regolith/colluvial unit 4,Sand,post-Cambrian cover,False,False,False,SA RAILWAYS RH 11,1968-06-18,310.4
9200,2.13,2.83,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,SA RAILWAYS RH 11,1968-06-18,310.4
9214,0.0,4.11,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,SA RAILWAYS RH 25,1968-06-19,310.6
9214,4.11,5.49,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,SA RAILWAYS RH 25,1968-06-19,310.6
9330,0.0,45.72,AYm--g,Glenloth Granite,Granite,Archaean,True,False,True,GLW 1,1969-11-27,185.1
9439,0.0,2.16,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 60E 10,1969-10-24,183.4
9439,2.16,5.49,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 60E 10,1969-10-24,183.4
9440,0.0,2.4,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 60E 07,1969-10-24,183.4
9440,2.4,6.1,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 60E 07,1969-10-24,183.4
9441,0.0,1.92,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 60E 04,1969-10-24,183.6
9441,1.92,6.1,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 60E 04,1969-10-24,183.6
9443,0.0,2.4,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 60E 98,1969-10-24,183.6
9443,2.4,6.1,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 60E 98,1969-10-24,183.6
9444,0.0,4.8,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 70E 10,1969-10-24,183.0
9444,4.8,9.14,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 70E 10,1969-10-24,183.0
9445,0.0,3.84,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 70E 07,1969-10-24,183.0
9445,3.84,6.1,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 70E 07,1969-10-24,183.0
9446,0.0,4.8,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 70E 04,1969-10-24,183.1
9446,4.8,6.1,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 70E 04,1969-10-24,183.1
9447,0.0,5.28,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 70E 01,1969-10-24,183.1
9447,5.28,10.67,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 70E 01,1969-10-24,183.1
9448,0.0,5.04,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 35E 06,1969-10-23,184.1
9448,5.04,12.19,AYm--g,Glenloth Granite,Granite,Archaean,True,False,True,LINE 35E 06,1969-10-23,184.1
9449,0.0,1.44,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 35E 03,1969-10-23,184.1
9449,1.44,6.1,M-tai---02,Chitanilga Volcanic Complex unit 2,Rhyolite,Mesoproterozoic,True,False,True,LINE 35E 03,1969-10-23,184.1
9450,0.0,2.4,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 35E 04.5,1969-10-23,184.1
9450,2.4,9.14,M-tai---02,Chitanilga Volcanic Complex unit 2,Rhyolite,Mesoproterozoic,True,False,True,LINE 35E 04.5,1969-10-23,184.1
9451,0.0,3.48,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 35E 07.5,1969-10-23,184.1
9451,3.48,6.1,AYm--g,Glenloth Granite,Granite,Archaean,True,False,True,LINE 35E 07.5,1969-10-23,184.1
9452,0.0,1.92,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 30E 20,1969-10-23,184.1
9452,1.92,3.66,AYm--g,Glenloth Granite,Granite,Archaean,True,False,True,LINE 30E 20,1969-10-23,184.1
9453,0.0,1.44,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 30E 17,1969-10-23,184.1
9453,1.44,6.1,AYm--g,Glenloth Granite,Granite,Archaean,True,False,True,LINE 30E 17,1969-10-23,184.1
9454,0.0,1.44,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 30E 15,1969-10-23,184.1
9454,1.44,6.1,AYm--g,Glenloth Granite,Granite,Archaean,True,False,True,LINE 30E 15,1969-10-23,184.1
9455,0.0,1.68,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 80E 19,1969-10-25,182.6
9455,1.68,5.18,M-tai---10,Chitanilga Volcanic Complex unit 10,Basalt,Mesoproterozoic,True,False,True,LINE 80E 19,1969-10-25,182.6
9456,0.0,1.2,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 80E 20,1969-10-25,182.6
9456,1.2,7.01,M-tai---02,Chitanilga Volcanic Complex unit 2,Rhyolite,Mesoproterozoic,True,False,True,LINE 80E 20,1969-10-25,182.6
9457,0.0,3.12,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 90E 20,1969-10-25,182.2
9457,3.12,7.01,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 90E 20,1969-10-25,182.2
9458,0.0,1.92,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 90E 18,1969-10-25,182.2
9458,1.92,6.1,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,LINE 90E 18,1969-10-25,182.2
9459,0.0,1.44,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 90E 16,1969-10-25,182.4
9459,1.44,6.1,M-th,Hiltaba Suite,Microgranite,Mesoproterozoic,True,False,True,LINE 90E 16,1969-10-25,182.4
9460,0.0,3.05,M-tai---02,Chitanilga Volcanic Complex unit 2,Rhyolite,Mesoproterozoic,True,False,True,LINE 90E 14,1969-10-25,182.4
9461,0.0,3.05,M-tai---02,Chitanilga Volcanic Complex unit 2,Rhyolite,Mesoproterozoic,True,False,True,LINE 90E 15,1969-10-25,182.4
9462,0.0,1.44,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,LINE 90E 15.5,1969-10-25,182.4
9462,1.44,9.14,M-th,Hiltaba Suite,Microgranite,Mesoproterozoic,True,False,True,LINE 90E 15.5,1969-10-25,182.4
9465,0.0,10.8,aI,Tertiary-Pleistocene rocks,Sand,post-Cambrian cover,False,False,False,LINE 30N 28,1969-10-26,184.8
9465,10.8,16.56,Ka----dw,Cretaceous-Paleocene deep weathering,Regolith,post-Cambrian cover,False,False,False,LINE 30N 28,1969-10-26,184.8
9465,16.56,19.81,M-tai---10,Chitanilga Volcanic Complex unit 10,Basalt,Mesoproterozoic,True,False,True,LINE 30N 28,1969-10-26,184.8
9560,0.0,6.4,IH,Quaternary rocks,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,,1962-08-08,140.2
9560,6.4,39.0,JK---a,Algebuckina Sandstone,Sandstone,post-Cambrian cover,False,False,False,,1962-08-08,140.2
9560,39.0,56.7,M----p,Pandurra Formation,Sandstone,Mesoproterozoic,True,True,False,,1962-08-08,140.2
9563,0.0,1.8,IH,Quaternary rocks,Soil,post-Cambrian cover,False,False,False,N. MUNGILLIO BOR,1962-01-01,145.1
9563,1.8,10.7,mp---md,Danae Conglomerate Member,Sandstone,post-Cambrian cover,False,False,False,N. MUNGILLIO BOR,1962-01-01,145.1
9563,10.7,30.5,JK---a,Algebuckina Sandstone,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,N. MUNGILLIO BOR,1962-01-01,145.1
9563,30.5,36.0,M----p,Pandurra Formation,Shale,Mesoproterozoic,True,True,False,N. MUNGILLIO BOR,1962-01-01,145.1
9566,0.0,3.0,IH,Quaternary rocks,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,,1962-08-09,137.0
9566,3.0,30.5,JK---a,Algebuckina Sandstone,Sandstone,post-Cambrian cover,False,False,False,,1962-08-09,137.0
9566,30.5,86.6,M----p,Pandurra Formation,Sandstone,Mesoproterozoic,True,True,False,,1962-08-09,137.0
9989,0.0,18.3,K--rmb,Bulldog Shale,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 1,1964-10-22,163.0
9989,18.3,79.2,P-,Permian rocks,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 1,1964-10-22,163.0
9989,79.2,145.6,Y-,Palaeoproterozoic rocks,Gneiss,Palaeoproterozoic,True,False,True,MOUNT WOODS 1,1964-10-22,163.0
9990,0.0,18.3,K--rmb,Bulldog Shale,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 2,1964-10-14,163.4
9990,18.3,91.4,P-,Permian rocks,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 2,1964-10-14,163.4
9990,91.4,99.6,Y-,Palaeoproterozoic rocks,Granulite,Palaeoproterozoic,True,False,True,MOUNT WOODS 2,1964-10-14,163.4
9991,0.0,12.2,K--rmb,Bulldog Shale,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 3,1964-10-24,164.5
9991,12.2,57.9,P-,Permian rocks,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 3,1964-10-24,164.5
9991,57.9,72.2,Y-,Palaeoproterozoic rocks,Granulite,Palaeoproterozoic,True,False,True,MOUNT WOODS 3,1964-10-24,164.5
9992,0.0,3.0,K--rmb,Bulldog Shale,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 4,1964-10-27,165.1
9992,3.0,92.4,P-,Permian rocks,Shale,post-Cambrian cover,False,False,False,MOUNT WOODS 4,1964-10-27,165.1
9992,92.4,93.5,Y-,Palaeoproterozoic rocks,Gneiss,Palaeoproterozoic,True,False,True,MOUNT WOODS 4,1964-10-27,165.1
