seed,L1-1 cover_total_m,L1-2 corr_length_km,L1-3 relief_m,L2-1 intensity_per_1e4km2,L2-3 basalt_multiplier,L3-1 p_reduced,L3-2 belt_length_km,L4-1 reach_d_km,L4-2 p_ore,L4-3 ore_multiplier,L5-2 rho_quartzite,L5-2 rho_shale,L5-2 rho_limestone,L5-2 rho_pandurra,L5-2 k_cover,L5-2 res_cover,L5-4 basement_sd,L5-4 basement_logk_sd,n_basalt,basalt_frac,reduced_frac,n_iron,basement_sd_realized,basement_logk_sd_realized,zone_km2,n_ore,Mt_total,contrast,g_n_per_1e4km2,g_amp_median,g_amp_p90,g_width_median_km,g_residual_sd,m_n_per_1e4km2,m_amp_median,m_amp_p90,m_width_median_km,m_residual_sd
1010,353.2472990365503,23.68711313188477,137.6515099670191,9.851726791110424,15.429932165476808,0.23653621399059893,57.98220219028584,8.473723981800163,0.11181579594440637,3.5875859698941093,2.6261140463200463,2.5367665695504016,2.2200731296267544,2.355017047262357,49.333137958557046,349.56696001183644,0.07277532818895993,0.5371404943727758,14,0.06408554572271387,0.23657817109144544,4,0.07379993454332061,0.5327251877704544,1129.0,29,741.3336933667287,0.4370915406596332,1.6402854096612811,21.540360209247062,35.367767278947994,41.5182066821014,13.227338479801368,19.639016178808568,310.35763217400375,1224.4964139667375,5.527906391541368,379.38780584117865
1011,419.4436941226528,24.75974993003876,31.890020198098462,2.656311846573338,2.747741614627537,0.1494158863002204,58.89114673587152,14.736222035748607,0.3465631070436066,3.066254671739789,2.603098163644091,2.284367399274256,2.4446377100330374,2.4779675438870212,10.051397378191503,346.5696645450306,0.0528443520787833,0.7233576929525302,5,0.018141592920353982,0.14941002949852508,1,0.05282358636810601,0.714651434230089,275.0,24,1029.719093293501,0.3158677008939641,4.920856228983843,8.609946943665715,25.70291925163968,23.54215765646081,9.1622533748687,18.703824932198636,215.1254333361096,2539.0782324872625,5.280193297421748,605.070586119816
1012,427.21216914472365,35.127611127764546,35.76546293305135,8.88320542773631,9.39334902866506,0.2162968840573305,76.0168324288093,1.9800303523369789,0.34757877903425305,3.799589995626651,2.673260565391815,2.203353768400026,2.364389056554494,2.427510590579583,78.19699898161096,28.974003833344433,0.0607419521905188,0.7701629248473314,8,0.03657817109144543,0.21629793510324483,8,0.05950215375133894,0.7292023045327682,132.0,9,335.8212986438245,0.3803819596382527,3.2805708193225622,13.035290159493961,22.797545230927124,27.07755015135731,10.531072704185018,17.768633685588703,564.8384401499197,2583.979500579868,6.180387232371033,827.7885966520322
1013,598.0725203571658,11.355448228078748,100.89893869451538,5.58054805906645,13.105929393539064,0.10988014161550437,69.71592583990142,8.54785071947305,0.2885128174027786,3.1983424773771563,2.6495967944806793,2.1414971257208824,2.695574020149606,2.3709324220995645,64.04046242031225,338.6797072559725,0.08455864052147671,0.5520167029112661,4,0.0035398230088495575,0.10988200589970501,5,0.07972932072996056,0.5529278286402696,97.0,7,243.0869136399106,0.4795320127152194,0.8201427048306406,23.079376611555602,23.079376611555602,84.49292353404549,10.264605521475298,18.703824932198636,699.8533376866351,2122.5991992865625,6.816968760075387,497.65444894275356
1014,472.43340056797996,25.667782045115686,134.694721047756,9.940645123337525,9.693693308845226,0.10824085207752278,116.56867360851119,9.712174702023065,0.2419441523624498,3.266133221807054,2.6758358060432923,2.332527467011725,2.3692812217642243,2.4282635003140265,39.711602728954865,3.5610222950919974,0.06572566560789045,0.6563805339518034,7,0.009218289085545723,0.10825958702064897,9,0.06298120094021048,0.6629521646292973,717.0,48,2600.9308396912415,0.36934060916857225,2.4604281144919216,23.972197416514852,28.446215007302815,42.18991447656368,10.600556320414439,17.768633685588703,483.09597739942853,2940.3524839855527,5.753627391751592,546.3487682038827
1015,445.9660273319204,26.565757428647714,96.19576797266687,2.7434824358314582,1.5183212446194088,0.08665197667648215,52.815368248806394,10.407990744916132,0.1712538639469423,2.2979157668299077,2.6256660482964618,2.164068733418532,2.6712562869468752,2.4085645227718517,50.055447976591516,114.46666800782509,0.06844443020250686,0.9391442795304563,3,0.020427728613569323,0.0866519174041298,1,0.06770184517337954,0.8431393268076031,110.0,5,114.60732951100488,0.33622640335213694,1.6402854096612811,19.72804367218572,26.98227063263049,43.13422155214771,10.327627106673367,16.83344243897877,1023.6294820833126,3174.3958118581454,8.196713651031223,834.9705638915647
1016,399.7970588492649,20.39059134470729,53.043593082709165,6.637661356969516,8.054343238527263,0.17101195812605402,135.61408808142608,8.66771202666428,0.27185951854620927,3.906825600261465,2.6354615599018545,2.105891666702946,2.568576684545598,2.4703756112720536,76.26329871472316,468.43852318727505,0.03387033052093385,0.6248138777264731,12,0.03746312684365782,0.17101769911504425,3,0.03355139278682052,0.6148287867043982,612.0,41,3141.459011659005,0.32386231528496534,3.2805708193225622,4.105171252605472,9.697035070216252,13.317657784052678,5.446337765983769,25.250163658468157,153.47216622651294,1622.1810442440287,4.918490759365935,601.1282883342441
1017,641.4231140085967,37.5047559065993,145.8869088115652,6.796973861906826,2.1664740480936886,0.15418192516692786,80.37595486033491,7.057339375003297,0.1719141655371081,1.6046898196198218,2.6302284074960633,2.54604771287399,2.60260739637515,2.478328547892106,63.80876910341684,44.032825004960166,0.06214918542984204,0.7043989142134154,8,0.036061946902654865,0.15420353982300886,4,0.06147442978803324,0.6708947966070489,449.0,19,2637.5436229715715,0.3232979088340753,4.1007135241532024,6.9308781752528175,25.870277515650898,6.282549314314218,10.597059073341436,21.509398672028432,212.60127378018512,1836.5765059088324,5.970821321441846,373.4182634153655
1018,527.8914072160412,20.7970984217847,130.727083162954,8.515107100389198,9.980111453376102,0.21912186283704582,47.77566202894675,8.988678414112046,0.21602674221442122,3.6046364755058096,2.680410705596284,2.4374965038419094,2.241305490952071,2.4584408707383822,21.033456856894137,12.27598254929584,0.03246426349737847,0.8674027410588118,11,0.025073746312684365,0.2191740412979351,7,0.03200309500523008,0.827907007354472,697.0,35,890.1649602678962,0.34452193195656466,3.2805708193225622,7.144370706011228,11.343911929398173,27.64405756748948,4.7040801020759675,18.703824932198636,967.2186091648095,2549.157737359932,5.467231631939395,916.1339527088234
1019,395.92440051230705,18.914229761424227,70.03262463763211,8.63001558293143,4.608505076420464,0.22621628061928029,46.235642002170906,1.5077488677033024,0.22161554939752087,3.0394594510132924,2.667436466481558,2.3325119139247326,2.3443971256975105,2.509082534860427,84.5248313494741,2.1186773305453643,0.031217087770931604,0.9271543242746392,17,0.04837758112094395,0.22625368731563422,4,0.031078475460251484,0.9033171325726169,82.0,4,69.8685604132353,0.28734342555651793,2.4604281144919216,5.5593452257275935,10.163389555515034,12.6156626101008,4.926195281700878,24.314972411858225,636.3373293149145,3267.8367084746324,6.650829886795033,894.218059418474
