file,bytes,image_w,image_h,world_file,source_zip,zip_sha256,retrieved
extracted\OD19_i_agd66_amg_Z50.TAB,398,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_iii_agd66_amg_Z50.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_iii_agd66_amg_Z50.jpg,5730744,5746,5069,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_iii_agd66_amg_Z50.jpg.aux.xml,7689,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_iii_agd66_amg_Z50.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_vii_agd66_amg_Z50.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_vii_agd66_amg_Z50.jpg,9263504,7486,5710,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_vii_agd66_amg_Z50.jpg.aux.xml,7898,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_vii_agd66_amg_Z50.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD20_i_agd66_amg_Z53.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD20_i_agd66_amg_Z53.jpg,2435748,5941,5071,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD20_i_agd66_amg_Z53.jpg.aux.xml,7324,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD20_i_agd66_amg_Z53.TAB,397,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_i_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_i_agd66_amg_Z54.jpg,9823848,7887,5458,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_i_agd66_amg_Z54.jpg.aux.xml,7851,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_i_agd66_amg_Z54.TAB,395,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_ii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_ii_agd66_amg_Z54.jpg,9709797,7836,5436,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_ii_agd66_amg_Z54.jpg.aux.xml,7864,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_ii_agd66_amg_Z54.TAB,397,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_iv_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_iv_agd66_amg_Z54.jpg,2122126,7021,4864,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_iv_agd66_amg_Z54.jpg.aux.xml,7120,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD21_iv_agd66_amg_Z54.TAB,398,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_i_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_i_agd66_amg_Z54.jpg,9954741,8026,5816,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_i_agd66_amg_Z54.jpg.aux.xml,7931,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_i_agd66_amg_Z54.TAB,399,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_ii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_ii_agd66_amg_Z54.jpg,2345622,6966,4348,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_ii_agd66_amg_Z54.jpg.aux.xml,7227,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_ii_agd66_amg_Z54.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_iii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_iii_agd66_amg_Z54.jpg,4014386,6421,5112,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
