DRILLHOLE_NO,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,in_regional_window,dist_od_km,LOGGING_ORGANISATION,logging_date,logged_before_t0,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,MAJOR_LITHOLOGY,MINOR_LITHOLOGY,DESCRIPTION,facies_class,reduced_words,reductant_words,oxidised_words
4196,,134.422077,-32.9471313,1953-05-07,,False,363.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,7.32,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4196,,134.422077,-32.9471313,1953-05-07,,False,363.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,7.32,31.39,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"rusty clayey sand, gritty.",none,,,
4544,SA BULK HANDLING NUNJI. SILO,134.339117,-32.2686413,1963-11-29,Sa Co-operative Bulk Handling Co.,False,315.9,Mines & Energy SA,1993-07-13,False,0.0,7.16,I---ew,Wiabuna Formation,post-Cambrian cover,False,False,False,Sand,Calcrete,"Sand, calcrete",none,,,
4544,SA BULK HANDLING NUNJI. SILO,134.339117,-32.2686413,1963-11-29,Sa Co-operative Bulk Handling Co.,False,315.9,Mines & Energy SA,1993-07-13,False,7.16,19.81,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Sandstone,"Sand, sandstone, some silcrete, ferricrete",none,,,
4996,NEW SURPRISE BORE,134.3948331,-29.6701873,1971-10-08,South Australia. Department of Mines and Energy.,False,254.7,Mines & Energy SA,1993-06-23,False,0.0,30.6,P----s,Stuart Range Formation,post-Cambrian cover,False,False,False,,,,none,,,
5051,COMM RAILWAYS (A169) 15,134.4786941,-29.2546583,1972-03-27,Commonwealth Railways of Australia.,False,267.1,Mines & Energy SA,1993-07-21,False,0.0,2.5,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Sand,Gravel,"Fine gr. sand with rounded and subang. chert, SILC pebbles",none,,,
5051,COMM RAILWAYS (A169) 15,134.4786941,-29.2546583,1972-03-27,Commonwealth Railways of Australia.,False,267.1,Mines & Energy SA,1993-07-21,False,2.5,37.5,JK------01,Jurassic-Cretaceous unit 1,post-Cambrian cover,False,False,False,Sandstone,,Fine gr. sandstone with rounded - subang gr and silty matrix,none,,,
5051,COMM RAILWAYS (A169) 15,134.4786941,-29.2546583,1972-03-27,Commonwealth Railways of Australia.,False,267.1,Mines & Energy SA,1993-07-21,False,37.5,38.7,AYm,Mulgathing Complex,Archaean,True,False,True,Felsic Intrusive,,Weathered porphyry,none,,,
5052,CH 1,134.4786941,-29.2546583,1971-11-18,South Australia. Department of Mines and Energy.,False,267.1,Mines & Energy SA,1993-09-17,False,0.0,2.6,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Gravel,Silt,"Rounded to subangular gravel, silty fines and sand",none,,,
5052,CH 1,134.4786941,-29.2546583,1971-11-18,South Australia. Department of Mines and Energy.,False,267.1,Mines & Energy SA,1993-09-17,False,2.6,11.3,JK---a,Algebuckina Sandstone,post-Cambrian cover,False,False,False,Sand,Silt,"Sand, silty fines, minor rounded gravel, trace clay",none,,,
5053,CH 2,134.4786941,-29.2546583,1971-11-20,South Australia. Department of Mines and Energy.,False,267.1,Mines & Energy SA,1993-09-17,False,0.0,2.6,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Sand,Gravel,"Poorly graded sand, silty fines, angular-rounded gravel",none,,,
5053,CH 2,134.4786941,-29.2546583,1971-11-20,South Australia. Department of Mines and Energy.,False,267.1,Mines & Energy SA,1993-09-17,False,2.6,11.6,JK---a,Algebuckina Sandstone,post-Cambrian cover,False,False,False,Sand,Silt,Sand and silty fines with occasional gravelly bands,none,,,
5054,CH 3,134.4786941,-29.2546583,1971-11-26,South Australia. Department of Mines and Energy.,False,267.1,Mines & Energy SA,1993-09-17,False,0.0,1.9,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Gravel,Silt,"Well rounded gravel, silty fines and sand",none,,,
5054,CH 3,134.4786941,-29.2546583,1971-11-26,South Australia. Department of Mines and Energy.,False,267.1,Mines & Energy SA,1993-09-17,False,1.9,11.1,JK---a,Algebuckina Sandstone,post-Cambrian cover,False,False,False,Sand,Silt,"Sand, silty fines, rounded gravel, trace clay",none,,,
5056,COMM RAILWAYS  - DH 31,134.4860351,-29.2625023,1974-10-20,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1993-09-17,False,0.0,2.0,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Sand,Silt,Slightly silty sand over sandy and clayey silcrete gravel,none,,,
5056,COMM RAILWAYS  - DH 31,134.4860351,-29.2625023,1974-10-20,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1993-09-17,False,2.0,3.7,K--rmb,Bulldog Shale,post-Cambrian cover,False,False,False,Shale,Sand,Gypseous clay shale becoming sandy downwards,none,,,
5056,COMM RAILWAYS  - DH 31,134.4860351,-29.2625023,1974-10-20,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1993-09-17,False,3.7,6.8,K----c,Cadna-owie Formation,post-Cambrian cover,False,False,False,Sand,Silt,Compact silty fine gr. sand,none,,,
5057,COMM RAILWAYS  -  DH 31A,134.4860351,-29.2625023,1974-12-09,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1993-09-17,False,0.0,3.25,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Sand,,Alluvial sands with cobbles,none,,,
5057,COMM RAILWAYS  -  DH 31A,134.4860351,-29.2625023,1974-12-09,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1993-09-17,False,3.25,3.5,K--rmb,Bulldog Shale,post-Cambrian cover,False,False,False,Shale,,,none,,,
5058,COMM RAILWAYS  RR-MB 32,134.4860351,-29.2625023,1974-12-10,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1994-02-17,False,0.0,1.5,aI,Tertiary-Pleistocene rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Sand,Sandy clay with silcrete cobbles and boulders,none,,,
5058,COMM RAILWAYS  RR-MB 32,134.4860351,-29.2625023,1974-12-10,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1994-02-17,False,1.5,6.0,K--rmb,Bulldog Shale,post-Cambrian cover,False,False,False,Shale,Siltstone,Kaolinitic and gypseous clayey shale over fine gr. sandy siltstone,none,,,
5058,COMM RAILWAYS  RR-MB 32,134.4860351,-29.2625023,1974-12-10,South Australia. Department of Mines and Energy.,False,266.1,Mines & Energy SA,1994-02-17,False,6.0,10.0,K----c,Cadna-owie Formation,post-Cambrian cover,False,False,False,Sand,Silt,Fine gr. silty sand,none,,,
