reading,DRILLHOLE_NO,basement_top_m,basement_unit,contact_cover_unit,contact_cover_from_m,contact_cover_to_m,contact_facies_class,contact_reduced_words,contact_oxidised_words,contact_description,contact_logging_date,contact_logged_before_t0,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,LITHO_LOG,in_regional_window,dist_od_km
pandurra_as_cover,147465,88.0,Gawler Range Volcanics,Pandurra Formation,81.0,88.0,mixed,green,brown; red,Red-brown-green siltstone,1995-03-13,False,PACMINEX EX 24,137.3557996,-32.3768354,1973-10-14,Mount Gunson Mines Pty Ltd.,N,False,219.8
pandurra_as_cover,147473,37.2,Gawler Range Volcanics,Umberatana Group unit 2,6.0,37.2,reduced,pyritic,,Very fine to medium sandstone with rounded quartz & pink lithics in places; pyritic in lower part,1995-03-13,False,PACMINEX EX 36,137.3858726,-32.4374104,1973-10-31,Mount Gunson Mines Pty Ltd.,N,False,227.0
pandurra_as_cover,147484,32.5,Gawler Range Volcanics,Tapley Hill Formation,10.0,32.5,reduced,grey,,"Grey calcareous shale, weathered to clay at top; hard grey dolomitic limestone at base",1995-03-14,False,PACMINEX EX 95,137.3914116,-32.4377584,1974-03-23,Mount Gunson Mines Pty Ltd.,N,False,227.1
pandurra_as_cover,147491,9.0,Gawler Range Volcanics,Tertiary silcrete,3.0,9.0,none,,,Silcrete; could be silcreted volcanic,1995-03-14,False,PACMINEX EX 106,137.3084426,-32.4117994,1974-03-28,Mount Gunson Mines Pty Ltd.,N,False,222.8
pandurra_as_cover,147492,10.0,Gawler Range Volcanics,Tertiary-Pleistocene rocks,0.0,10.0,none,,,"Sandstone, gravel, sand, clay, gypsum, silcrete, ferricrete",1995-03-14,False,PACMINEX EX 107,137.3224446,-32.4146994,1974-03-28,Mount Gunson Mines Pty Ltd.,N,False,223.3
pandurra_as_cover,147495,16.0,Gawler Range Volcanics,Tapley Hill Formation,9.0,16.0,reduced,green,,Pale green laminated clay,1995-03-23,False,PACMINEX EX 113,137.3760826,-32.4006244,1974-06-07,Mount Gunson Mines Pty Ltd.,N,False,222.8
pandurra_as_cover,147496,23.0,Gawler Range Volcanics,Pandurra Formation,6.0,23.0,none,,,Quartzose to lithic sandstone with volcanic clasts 1-8mm diam,1995-03-23,False,PACMINEX EX 115,137.3488366,-32.3993304,1974-06-08,Mount Gunson Mines Pty Ltd.,N,False,222.1
pandurra_as_cover,148599,8.5,Corunna Conglomerate,Tertiary silcrete,7.6,8.5,none,,,Silicified sandstone: ?silcrete,1995-05-09,False,AU-U 1,136.6855327,-32.6353024,1971-05-20,Nissho Iwai Co (Australia) Pty Ltd.,N,False,244.7
pandurra_as_cover,148604,0.0,Corunna Conglomerate,,,,no cover interval logged,,,,,,AU-U 6,136.7352547,-32.6600134,1972-09-10,Nissho Iwai Co (Australia) Pty Ltd.,N,False,247.2
pandurra_as_cover,166509,4.6,Mulgathing Complex,Quaternary rocks,0.0,4.6,none,,,"Alluvial sand, clay & some gypsum.",1998-02-04,False,KENELLA 2A,134.961791,-30.9239723,1973-12-31,Agilis Exploration Services (Aust) Pty Ltd.,N,False,191.8
pandurra_as_cover,166510,4.6,Mulgathing Complex,Quaternary rocks,0.0,4.6,none,,,"Alluvial sand, clay & some gypsum.",1998-02-04,False,KENELLA 3A,134.964198,-30.9250553,1973-12-31,Agilis Exploration Services (Aust) Pty Ltd.,N,False,191.6
pandurra_as_cover,166511,4.6,Mulgathing Complex,Quaternary rocks,0.0,4.6,none,,,"Alluvial sand, clay & some gypsum.",1998-02-04,False,KENELLA 5A,134.963149,-30.9289353,1973-12-31,Agilis Exploration Services (Aust) Pty Ltd.,N,False,191.8
pandurra_as_cover,166512,6.1,Mulgathing Complex,Quaternary rocks,0.0,6.1,none,,,"Alluvial sand, clay & some gypsum.",1998-02-04,False,KENELLA 7A,134.960535,-30.9228883,1973-12-31,Agilis Exploration Services (Aust) Pty Ltd.,N,False,191.9
pandurra_as_cover,166513,4.6,Mulgathing Complex,Quaternary rocks,0.0,4.6,none,,,"Alluvial sand, clay & some gypsum.",1998-02-04,False,KENELLA 8A,134.959488,-30.9228883,1973-12-31,Agilis Exploration Services (Aust) Pty Ltd.,N,False,192.0
pandurra_as_cover,177989,132.0,Freeling Heights Quartzite,Paralana Quartzite,9.0,132.0,none,,,"Quartzite, very minor scapolitic schist & schistose amphibolite towards top.",2000-03-02,False,YX 11,139.2960134,-30.1787615,1973-04-12,Utah Development Co.,N,False,233.1
pandurra_as_cover,181359,64.0,Mount Neill Granite,Paralana Quartzite,38.0,64.0,reduced,green; pyritic,,"Quartzite, green, chloritic, pyritic.",2000-08-16,False,PDH 9,139.2373814,-30.2248305,1974-12-31,Aquitaine Australia Minerals Pty Ltd.,N,False,226.8
